vt,alpha,beta,phi,theta,psi,P,Q,R,pos_n,pos_e,alt,pow
555.9414367760103,0.031026518609733992,9.55526547508277e-05,0.01639100732124403,0.02969188932553696,-0.07390894100712023,0.0,0.0,0.0,0.0,0.0,3583.1206820456355,8.08957719098855
555.9220182731414,0.030641063198055044,0.00012526329980100815,0.016390875186629413,0.029706194540359034,-0.07390794061903122,-8.966598392225655e-06,0.000597123458702704,4.7382207339734847e-05,18.479913654661125,-1.3756516174163407,3583.0996905551406,8.131776363108647
555.9029652906702,0.030253947303535103,0.00015301980351025655,0.016390560032089208,0.02971701157789839,-0.07390528179247959,-1.4181869024139593e-05,-0.00011757705665207436,0.00010255156455780395,36.959244797302865,-2.750574041689004,3583.086100067457,8.193091057522508
555.8845551275573,0.029839904119455817,0.0001786291652458945,0.016390154971067925,0.029688513196484766,-0.07390132417458527,-1.684805336919173e-05,-0.001692536592401672,0.00016362716692827606,55.43800667744716,-4.124774580532896,3583.0797743263847,8.272357870949385
555.8670668240591,0.029384923382163683,0.00020195727861194702,0.01638972249848346,0.029598470961886652,-0.07389626478114734,-1.784972690739271e-05,-0.003779692047439211,0.00022886663301809924,73.91622176305327,-5.4982635438322855,3583.0804008348405,8.36815624685995
555.8507611127123,0.028881881528516052,0.00022292313635522733,0.01638930965448885,0.0294334554631961,-0.07389021110829086,-1.773602783340637e-05,-0.006104334699793429,0.0002966794258876276,92.39392200234457,-6.871053307865377,3583.0875486893688,8.478819322542533
555.8358793272561,0.02833168765606432,0.0002414964852159162,0.01638894049521362,0.02918998785009234,-0.07388316007135061,-1.686818859341747e-05,-0.008472111567796925,0.0003656191680817898,110.87114808881003,-8.243158370607166,3583.1006641960535,8.602466162317718
555.8226287758837,0.027739038414187345,0.00025768958306164646,0.016388630537151908,0.028869816554304442,-0.07387506743342048,-1.5429403053366555e-05,-0.010739040471247699,0.0004343941346390915,129.34794845740507,-9.614594296252763,3583.1191318602587,8.737047888288677
555.8111735445349,0.02710962052438558,0.00027155156016055187,0.01638840717081976,0.028476805283613398,-0.07386589314699785,-1.3658436954110881e-05,-0.012792033433712956,0.0005018702063262105,147.8243786078081,-10.985376990238802,3583.142316369516,8.880378422696996
555.8016419930333,0.026451748786754936,0.00028316470153302257,0.016388287264944606,0.02801857844572019,-0.07385557106576185,-1.175864773734031e-05,-0.014558515164765112,0.0005670637618681924,166.30049936144636,-12.355522779014379,3583.169553419287,9.030190330354241
555.7941335890987,0.02577717759253538,0.00029264520447057276,0.016388259123438872,0.02750739693479725,-0.07384399541124437,-9.571278348750723e-06,-0.01601095961249619,0.0006291392718450621,184.77637627250886,-13.725048625679745,3583.2001345769672,9.184146915807473
555.7887062848553,0.025096373059753815,0.0003001274194765169,0.016388322743719395,0.02695476090917519,-0.07383109342068365,-7.076933567785136e-06,-0.017132280203750495,0.0006874068022049841,203.2520769869687,-15.093970680548217,3583.2333889496444,9.339934482308484
555.7853750628068,0.024417975507765394,0.000305761220204911,0.01638849433198101,0.026370775889266736,-0.07381683313721542,-4.479714870530609e-06,-0.01791174669927203,0.0007413210909257856,221.72767073601906,-16.46230407349772,3583.2686946084827,9.495280126709353
555.7841169858418,0.02374944483506031,0.000309709009089892,0.016388793087802764,0.025764767206652755,-0.07380121045718802,-2.071168091144016e-06,-0.018347835614586777,0.000790474378064773,240.20322723362338,-17.830062948039995,3583.305474211214,9.647982304186558
555.7848929054716,0.02310021554630506,0.0003121468536957733,0.016389201306208523,0.025148662628182522,-0.07378419485491447,2.7366462104392026e-07,-0.01846735788915844,0.0008345804199440103,258.6788150946165,-19.197261142895883,3583.3431492815366,9.795942038607336
555.7876364724059,0.022478887790300703,0.0003132631311379974,0.016389710301717736,0.024533982350996165,-0.073765776780847,2.6286245622295405e-06,-0.01830712226920637,0.0008734747226142876,277.15450269759293,-20.563911686554945,3583.381173305177,9.937136973083547
555.7922540985145,0.021892024481285917,0.0003132406883539241,0.016390314904053214,0.023930137264964638,-0.07374597793801589,4.988695139725125e-06,-0.0179001982170167,0.0009070914701397403,295.63035430980284,-21.930026036509375,3583.419071126237,10.069739465599195
555.7986252838219,0.021344170488201322,0.0003122562392324045,0.016391012365921186,0.02334443497862978,-0.07372485059523862,7.2790801902437945e-06,-0.017275819997474278,0.0009354625593712992,314.1064299258853,-23.295614064576974,3583.4564395307284,10.192121341166263
555.8066027743295,0.020837867789290886,0.0003104802934461004,0.016391802054717457,0.022782094215924236,-0.07370247727564215,9.359957815125207e-06,-0.016459429224399198,0.0009587171830200249,332.5827852404383,-24.660684060325853,3583.492946997754,10.302854493151031
555.8160312675419,0.020375729728273555,0.0003080748373462222,0.016392661823915584,0.022248398440421507,-0.07367893249322213,1.1420202037018167e-05,-0.01548208487153832,0.000977042087750168,351.059469826262,-26.025243330457727,3583.5282947088012,10.400740134793681
555.8267445099596,0.01996042731845086,0.0003052070433182491,0.01639359123339267,0.021749017447675403,-0.07365429080230078,1.337760435057596e-05,-0.014386470526126608,0.0009907036283606067,369.53653083784405,-27.389298501173666,3583.5622047486136,10.484699298226838
555.8385611367632,0.019593047386945922,0.000302033752817064,0.0163946001411474,0.02128787151923207,-0.07362864646767266,1.4982007094807677e-05,-0.01321023204388503,0.001000023348136493,388.01401012398844,-28.752854836941015,3583.5944580445303,10.553856469743565
555.8512929881344,0.0192736532550728,0.000298693651688105,0.016395685858656275,0.020867535624223492,-0.07360209883754494,1.6149248207251367e-05,-0.011984946266712817,0.001005348643752802,406.49194188307507,-30.115916287309034,3583.6248880928842,10.607596938365763
555.8647451092551,0.01900128473833648,0.00029530727016736577,0.016396833150873594,0.020489239419367467,-0.07357475234353747,1.696116122397404e-05,-0.01073612102268746,0.001007052765274332,424.97035266305994,-31.47848548690889,3583.653380959002,10.645566795844175
555.8787157503072,0.01877395814643288,0.00029197698288139536,0.016398014236231464,0.02015286724896763,-0.07354671650068272,1.7665575279571692e-05,-0.009483195126064714,0.0010055348161557038,443.4492613614751,-32.84056375545367,3583.6798752772042,10.667672936658375
555.8930003242325,0.01858896518385046,0.00028878794435707543,0.01639920728507036,0.019857294197775967,-0.07351810080498816,1.849585204052295e-05,-0.008240891498032032,0.0010012060101364535,461.92867931713675,-34.2021512645639,3583.7043527189953,10.674071564947127
555.9074100279211,0.018444622786371098,0.0002858216333736144,0.016400469853550537,0.019602542775284216,-0.07348899067616856,1.884292402984381e-05,-0.007031307769668244,0.0009944402781562674,480.40861310788176,-35.563248123075695,3583.7267798859793,10.66504254302692
555.9217407817987,0.01833786068359084,0.00028315273282645626,0.01640175465648155,0.01938714567299054,-0.0734594923433424,1.8997483591500382e-05,-0.005874171106483485,0.000985694631275958,498.8890654386779,-36.923853179093605,3583.747181267394,10.641027149929275
555.9357977105575,0.01826531108079475,0.00028084012787868407,0.016403016381885363,0.01920905343213361,-0.07342970576071256,1.9285213766168723e-05,-0.004784350825709432,0.0009754043869898652,517.370032346936,-38.283964541232905,3583.765605591388,10.602655250549148
