vt,alpha,beta,phi,theta,psi,P,Q,R,pos_n,pos_e,alt,pow
562.0201617095155,0.02930487455883157,-0.002620106647240531,-0.011211769187969659,0.04411760092712954,-0.05954738332360187,0.0,0.0,0.0,0.0,0.0,3522.463317160021,7.823685819326122
561.9778971640633,0.02895335693693335,-0.002595320223113949,-0.011208810564314456,0.044148533912005246,-0.059567161105620145,0.00020004182847072535,0.0011834331378135783,-0.0011436818365551024,18.695396965067292,-1.1575695550635845,3522.743814864228,7.886849099890276
561.9363085222741,0.0285638573852347,-0.002536263173883637,-0.011203282237104572,0.04415761900737169,-0.059622715310462836,0.00026278566352571844,-0.0010574980791377842,-0.0021577789401103597,37.38928620613884,-2.315046515622361,3523.0316654587787,7.992611384632554
561.8959398798943,0.02807196748249664,-0.0024476587330436225,-0.011198349639836958,0.044051683900649515,-0.059708574108399345,0.0002523826246990811,-0.005525040854222315,-0.0030368200561506054,56.08169330794517,-3.472468845560332,3523.326895983648,8.138578197479
561.8574163732562,0.027442156046676103,-0.002334243186257915,-0.01119549026368403,0.04377264873254374,-0.05981953914846376,0.00020761530152227503,-0.011295445032100745,-0.0037788625897673673,74.77267142380164,-4.629874070728784,3523.629055495148,8.321801461186533
561.8213629205572,0.02665956323501687,-0.002200673296789317,-0.01119531802261962,0.04328842277942135,-0.05995070072051634,0.00015112503771840346,-0.017659776021933363,-0.004385007396310864,93.46230128950333,-5.78729956223804,3523.9373322210595,8.538757366735611
561.788362999737,0.025728323188538002,-0.002051490049790935,-0.011197510871044265,0.042590830588954465,-0.060097453971352834,9.179850117384272e-05,-0.02410943294360244,-0.0048590008502109126,112.15068997347956,-6.944782310958123,3524.2505966704607,8.785390205960626
561.758898920379,0.02465964672179578,-0.0018909811980228647,-0.011201956078620455,0.04168238347412402,-0.060255524228199873,3.665198441668562e-05,-0.030250254131893424,-0.005206593380586833,130.83796560744094,-8.102358905267515,3524.567573843915,9.057218876527601
561.7333557599095,0.023472526675386077,-0.0017231689585591897,-0.011208366322163677,0.040576809651668516,-0.06042098144030952,-1.0713074473543181e-05,-0.03580535126606646,-0.00543526587171143,149.5242744189594,-9.260065131772341,3524.886856308374,9.349432531858938
561.7120281554132,0.022194001241643654,-0.0015518083439466355,-0.011216182689978807,0.039299082259999334,-0.06059024616427765,-5.162675600383116e-05,-0.04061328038876709,-0.005554037865228413,168.20977656443472,-10.417935600784693,3525.2069168967405,9.657011225119778
561.6951014488151,0.02085069758878927,-0.0013802770116697898,-0.011225027543777969,0.037875824265778346,-0.06076011261624764,-8.608133667764107e-05,-0.04456509932916938,-0.005572795083079501,186.8946393430849,-11.576003366209108,3525.526249433081,9.974872841530795
561.6826583344687,0.019468281489247407,-0.001211561646893464,-0.01123451065147258,0.036334493012822267,-0.060927754217954225,-0.0001143551157370672,-0.04759809038205501,-0.005502076951081282,205.57903445764902,-12.734299662479648,3525.843392673077,10.297945871978749
561.6747173798065,0.018074986369668405,-0.0010483118533120865,-0.011244373715060997,0.034707101564543756,-0.06109071370919935,-0.00013734003318701125,-0.04971688491390382,-0.005353123786402708,224.2631350704502,-13.892853654627793,3526.156882421582,10.621257390996654
561.6712304496506,0.0166975104166989,-0.0008927974542065205,-0.011254580321383737,0.03302540969455957,-0.06124690133829234,-0.00015357034275594565,-0.050960001062166776,-0.005137379132292898,242.94711169006078,-15.05169222087531,3526.4653263201517,10.940015539755521
561.6720802848383,0.015358078135346124,-0.0007468707200029075,-0.011264833803761923,0.03131726597173648,-0.06139459547439898,-0.00016417908957305587,-0.05137392677111519,-0.004866039664647455,261.6311279513279,-16.210839620172994,3526.7674765394004,11.24970667206425
561.6770868564638,0.014074996178534256,-0.0006119806639107932,-0.011274640251591833,0.029607166989468796,-0.06153243573652532,-0.00017279013091097266,-0.05101568876146764,-0.004550049919538356,280.3153401420966,-17.370317483677148,3527.0622219020006,11.546108963529983
561.6860507039199,0.012866368554796307,-0.0004892577821468743,-0.01128402247759255,0.02792023016178896,-0.06165938879420799,-0.00017937293744028405,-0.049973536159960114,-0.00420014184719377,298.9998956583184,-18.530144854707636,3527.34852241084,11.825335681879245
561.6987375856921,0.011747067093808345,-0.0003794823140520201,-0.01129316103471187,0.02627870740140071,-0.06177474160162455,-0.00018076492182463055,-0.048343783865992786,-0.0038265195360120924,317.6849323149145,-19.690338186509926,3527.625463777109,12.083833882585678
561.7148796635636,0.010728052281467396,-0.00028311589970070187,-0.011301956277061705,0.02470072812499289,-0.061878061209929995,-0.0001774895554024603,-0.04621710802954001,-0.0034385653267548304,336.3705751127737,-20.850911256239655,3527.8922885060683,12.31846617942086
561.7341781416919,0.009816619992405299,-0.00020031150494626284,-0.01131006165789119,0.023200531149777406,-0.06196918819840899,-0.00017367499746124358,-0.04367924774365979,-0.00304483041433669,355.05693597731744,-22.01187517979292,3528.148392175106,12.526518181032234
561.756318224745,0.009018049904166194,-0.00013097064548602168,-0.011317503422968722,0.02179032768790543,-0.062048201994560695,-0.0001693945212081012,-0.04082017198363407,-0.0026530980443940874,373.7441146723362,-23.173238743572284,3528.3932799914305,12.705675224374781
561.7809673333212,0.008335126318518425,-7.474647734836555e-05,-0.01132444064631205,0.020479713656352583,-0.0621154103953136,-0.00016246949519627683,-0.03772975829224907,-0.002270332046788009,392.43219919554605,-24.33500845954251,3528.626576791264,12.85400589524024
561.8077748435028,0.007768116580089248,-3.110937901397396e-05,-0.01133087403146065,0.019275201681489513,-0.062171283867491475,-0.00015290311063750076,-0.03448800954600954,-0.0019025038777574941,411.1212631914898,-25.497188710226272,3528.8480336477264,12.970029542049907
561.8363739712036,0.00731500146042973,6.36933524778352e-07,-0.011336696148254454,0.018180421241528133,-0.06221644266567701,-0.00014247009718443434,-0.031165067477652488,-0.0015545797740643995,429.8113656539017,-26.659781805491342,3529.057522826902,13.052724551786605
561.8663880932745,0.006972154810082375,2.1316392206693386e-05,-0.011341893787931791,0.017196902148501156,-0.06225162566990066,-0.00013188270011664445,-0.02782443014933652,-0.0012306156264048206,448.5025516520469,-27.82278827248189,3529.2550135372057,13.101505471325178
561.8974285265015,0.0067342628104588,3.190605641435072e-05,-0.011346538141568992,0.016324189315760462,-0.06227771367038434,-0.00012047960866316959,-0.024526896824759486,-0.000933877908942079,467.19485494508393,-28.98620691679211,3529.440570515183,13.116157430836632
561.9291019146258,0.006594794975571555,3.3448940690051186e-05,-0.011350640272222788,0.01555999604533308,-0.06229564777623963,-0.00010845212737530609,-0.021324067188530665,-0.0006667834054387728,485.88829556345536,-30.15003511949865,3529.6143406457572,13.096887030411374
561.9610156813762,0.006546474177574598,2.700720725508464e-05,-0.011354215009555331,0.014900602020591694,-0.062306388340499334,-9.609585824981966e-05,-0.018257413381421006,-0.000430904583469841,504.58287899150207,-31.314269042133603,3529.7765379769526,13.04433805675952
